ASIN,Product_Name,Brand,Category,Est_Monthly_Revenue,Est_Monthly_Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date_First_Available,Buy_Box_Owner,Rating,Dimensions,Product_Tier,Weight
"B07FHPCC19" ,"Battery Tender Ring Terminal Accessory Cable- Jar of 25" ,"Battery Tender" ,"Automotive" ,"$364,729.05" ,"2,919" ,"$124.95" ,"$23.88" ,"$101.07" ,"527" ,"7538" ,"3" ,"3" ,"11/08/2009" ,"Deltran USA" ,"4.8" ,"11.50" x 6.00" x 5.40"" ,"Standard (Large)" ,"3.65 lbs"
"B01M8QT477" ,"2/0 Gauge 2/0 AWG 20 Feet Red + 20 Feet Black Welding Battery Pure Copper Flexible Cable + 10pcs of 3/8" Tinned Copper Cable Lug Terminal Connectors + 3 Feet Black Heat Shrink Tubing" ,"WindyNation" ,"Automotive" ,"$353,675.94" ,"2,253" ,"$146.47" ,"$33.82" ,"$112.65" ,"733" ,"29.5" ,"6" ,"2" ,"11/01/2016" ,"WindyNation" ,"4.65" ,"8.19" x 5.98" x 5.12"" ,"Standard (Large)" ,"19.7 lbs"
"B07124B7TX" ,"VViViD Gloss Black Vinyl Wrap Adhesive Film Air Release Decal Sheet (100ft x 5ft)" ,"VViViD" ,"Automotive" ,"$351,567.00" ,"783" ,"$449.00" ,"$79.56" ,"$369.44" ,"4,020" ,"1136" ,"6" ,"1" ,"07/25/2016" ,"VViViD Vinyl" ,"4.2" ,"6.40" x 6.45" x 61.50"" ,"Oversize (Medium)" ,"37.699 lbs"
"B08QMBM2VT" ,"GOOLOO 4000A Peak SuperSafe Car Jump Starter (All Gas  up to 10.0L Diesel Engine) 12V Auto Battery Jumper Booster with USB Quick Charge and Type C Port  Portable Power Pack for Trucks  SUVs" ,"GOOLOO" ,"Automotive" ,"$313,801.54" ,"1,846" ,"$169.99" ,"$29.29" ,"$140.70" ,"570" ,"323" ,"7" ,"1" ,"09/22/2019" ,"GOOLOO" ,"4.6" ,"4.10" x 5.00" x 10.00"" ,"Standard (Large)" ,"3.6509 lbs"
"B07RFTK5PK" ,"TopCoat F11 Polish & Sealer - Gallon Kit Special" ,"TopCoat" ,"Automotive" ,"$307,737.69" ,"1,231" ,"$216.17" ,"$41.62" ,"$174.55" ,"1,958" ,"1709.6666666666667" ,"6" ,"2" ,"02/13/2019" ,"TopCoat®" ,"4.3999999999999995" ,"6.70" x 12.50" x 12.80"" ,"Standard (Large)" ,"10.8489 lbs"
"B08JHX3MN6" ,"OASIS AUTO Leather&Fabric Car Seat Covers  Faux Leatherette Automotive Vehicle Cushion Cover for Cars SUV Pick-up Truck Universal Fit Set Auto Interior Accessories (OS-005 Full Set  Burgundy)" ,"OASIS AUTO" ,"Automotive" ,"$307,180.80" ,"1,920" ,"$159.99" ,"$29.74" ,"$130.25" ,"1,058" ,"980.6" ,"6" ,"1" ,"09/19/2020" ,"Oasis Auto Group" ,"4.4" ,"25.00" x 21.00" x 4.00"" ,"Oversize (Small)" ,"7 lbs"
"B07D934XNC" ,"Energizer 4000 Watts Power Inverter  12V to 110 Volts Modified Sine Wave Car Inverter  Dual AC Outlets  2 USB Ports 2.4A ea and Hardwire Kit  Battery Cables Included - METLab Approved Under UL STD 458" ,"Energizer" ,"Automotive" ,"$303,303.48" ,"852" ,"$299.99" ,"$54.59" ,"$245.40" ,"2,135" ,"1572.6666666666667" ,"6" ,"2" ,"09/30/2018" ,"TECHBUY" ,"4.4" ,"17.00" x 7.00" x 11.50"" ,"Standard (Large)" ,"11.5 lbs"
"B08KTN6P96" ,"Armor All AAGFMC22 Charcoal 22' x 8'10" Garage Floor Mat  X Large" ,"Armor All" ,"Automotive" ,"$766,551.12" ,"4,888" ,"$149.99" ,"$37.42" ,"$112.57" ,"N.A." ,"1907" ,"5" ,"6" ,"05/28/2018" ,"Drymate" ,"4.4" ,"10.50" x 10.90" x 41.40"" ,"Oversize (Small)" ,"20.8998 lbs"
"B08PSCQJFT" ,"OASIS AUTO Leather Car Seat Covers  Faux Leatherette Automotive Vehicle Cushion Cover for Cars SUV Pick-up Truck Universal Fit Set for Auto Interior Accessories (OS-001 Full Set  TAN)" ,"OASIS AUTO" ,"Automotive" ,"$240,784.95" ,"1,505" ,"$159.99" ,"$32.04" ,"$127.95" ,"3,104" ,"1186" ,"6" ,"1" ,"08/29/2019" ,"Oasis Auto Group" ,"4.3" ,"8.00" x 23.00" x 26.00"" ,"Oversize (Small)" ,"13.0492 lbs"
"B07GVQH6RN" ,"EezTire-TPMS12B Real Time/24x7 Tire Pressure Monitoring System - 12 Anti-Theft Sensors + Booster  incl. 3-Year Warranty" ,"EEZTire by EEZ RV PRODUCTS" ,"Automotive" ,"$224,073.00" ,"387" ,"$444.00" ,"$77.72" ,"$366.28" ,"6,323" ,"1261" ,"5" ,"2" ,"04/15/2013" ,"EEZ RV PRODUCTS" ,"4.4" ,"11.00" x 7.90" x 3.20"" ,"Standard (Large)" ,"1.95 lbs"
"B07J29CF1L" ,"LUCKYMAN CLUB Gray Car Seat Covers Fit Most Sedan SUV Truck Fit for Outback Crosstrek Forester Legacy Impreza WRX Optima Sportage Rondo Rio Cadenza Fusion Escape (Gray)" ,"LUCKYMAN CLUB" ,"Automotive" ,"$219,189.04" ,"1,096" ,"$199.99" ,"$34.63" ,"$165.36" ,"2,982" ,"2166" ,"7" ,"1" ,"09/30/2018" ,"LUCKYMAN CLUB" ,"4.4" ,"4.50" x 21.80" x 26.25"" ,"Oversize (Small)" ,"7.251 lbs"
"B08924FGNS" ,"Leader Accessories 150D 22'-24' L Travel Trailer RV Cover with Adhesive Repair Patch  Ripstop Diamond Camper Cover" ,"Leader Accessories" ,"Automotive" ,"$214,189.80" ,"1,020" ,"$217.99" ,"$42.22" ,"$175.77" ,"4,000" ,"20.5" ,"7" ,"1" ,"05/21/2020" ,"Leader Accessories" ,"4" ,"12.50" x 14.50" x 16.50"" ,"Oversize (Small)" ,"24.0502 lbs"
"B08T3S3B31" ,"ARES 18007-12-Piece Master Cylinder Adapter Set - Included Adapters Work on Most Current Master Cylinder Reservoirs - for Brake Fluid Bleeding" ,"ARES" ,"Automotive" ,"$212,714.88" ,"1,064" ,"$199.92" ,"$34.52" ,"$165.40" ,"N.A." ,"1315" ,"7" ,"1" ,"12/10/2018" ,"ARES TOOL" ,"4.4" ,"3.98" x 12.13" x 19.09"" ,"Oversize (Small)" ,"6.9754 lbs"
"B08PDRM5P1" ,"Tyger Auto Underseat Storage Box for 2019-2020 Chevy Silverado/GMC Sierra 1500; 2020 Silverado/Sierra 2500 3500 HD | Double Cab & Crew Cab New Body Style | Not for 2019 LD or Limited | TG-CB5C2278" ,"Tyger Auto" ,"Automotive" ,"$211,947.00" ,"1,333" ,"$149.00" ,"$33.65" ,"$115.35" ,"2,318" ,"1247" ,"6" ,"6" ,"04/22/2020" ,"MaxMate Depot" ,"4.6" ,"54.40" x 18.20" x 8.90"" ,"Oversize (Small)" ,"17.6 lbs"
"B01LTHEMZQ" ,"VViViD Black True R Carbon Fiber Vinyl Wrap Roll with Air Release Technology (100ft x 5ft (Bulk Wrap Kit))" ,"VViViD" ,"Automotive" ,"$211,194.72" ,"528" ,"$349.99" ,"$71.87" ,"$278.12" ,"5,681" ,"1099" ,"4" ,"2" ,"09/07/2016" ,"VViViD Vinyl" ,"4.4" ,"61.50" x 6.26" x 6.26"" ,"Oversize (Medium)" ,"33.05 lbs"
"B079NX8BQV" ,"GIANDEL 4000W Heavy Duty Pure Sine Wave Power Inverter DC12V to AC120V with 4 AC Outlets with Remote Control 2.4A USB and LED Display" ,"Giandel" ,"Automotive" ,"$211,105.44" ,"364" ,"$389.99" ,"$87.11" ,"$302.88" ,"7,447" ,"481" ,"6" ,"1" ,"02/06/2018" ,"Giandel" ,"4.5" ,"8.85" x 10.00" x 23.20"" ,"Oversize (Small)" ,"25.351 lbs"
"B07CSKF3X3" ,"Battery Tender 4-Bank: 12V  1.25 Amp Battery Charger - 12V Battery Charging Bank with 4 Ports - Simultaneously Charges and Maintains Up to Four Batteries - 022-0148-DL-WH" ,"Battery Tender" ,"Automotive" ,"$195,122.25" ,"1,055" ,"$184.95" ,"$31.58" ,"$153.37" ,"2,402" ,"3168" ,"7" ,"3" ,"10/01/2003" ,"Deltran USA" ,"4.8" ,"13.31" x 10.12" x 6.61"" ,"Standard (Large)" ,"4.95 lbs"
"B08P1QJDLL" ,"autowit SuperCap 2 12-Volt Battery-Less Portable Jump Starter (Up to 7.0L Gas  4.0L Diesel Engine) Built-in SuperCap  No Need of Regular Charge  10 Years Lifespan  Extremely Weather Operating" ,"autowit" ,"Automotive" ,"$193,637.09" ,"1,291" ,"$149.99" ,"$27.00" ,"$122.99" ,"N.A." ,"319" ,"6" ,"1" ,"03/29/2020" ,"rocky-genhigh" ,"4.6" ,"3.89" x 6.45" x 12.51"" ,"Standard (Large)" ,"3.9595 lbs"
"B07XHKFJ5M" ,"DEKOPRO 110/220V MMA Welder 160A ARC Welder Machine IGBT Digital Display LCD Hot Start Welder with Electrode Holder Work Clamp  Input Power Adapter Cable and Brush" ,"DEKOPRO" ,"Automotive" ,"$191,605.26" ,"1,474" ,"$129.99" ,"$28.23" ,"$101.76" ,"N.A." ,"1913" ,"6" ,"8" ,"02/18/2019" ,"Minthemin" ,"4.6" ,"6.60" x 11.30" x 15.70"" ,"Standard (Large)" ,"13.4989 lbs"
"B075FWLTPK" ,"VViViD+ Premium Vinyl Wrap Film (25ft x 5ft  Matte Rosso Corsa (Ferrari) Red)" ,"VViViD" ,"Automotive" ,"$189,709.80" ,"1,020" ,"$167.99" ,"$32.71" ,"$135.28" ,"2,775" ,"304" ,"4" ,"1" ,"09/06/2017" ,"VViViD Vinyl" ,"3.9" ,"2.20" x 3.80" x 60.00"" ,"Oversize (Small)" ,"7.9499 lbs"
"B01FWZGXPS" ,"509 Tactical Helmet (Teal Black - 2X-Large)" ,"509" ,"Automotive" ,"$183,546.00" ,"1,080" ,"$169.95" ,"$29.79" ,"$140.16" ,"3,220" ,"268.4" ,"3" ,"8" ,"06/28/2020" ,"SnowBigDeal" ,"4.866666666666666" ,"15.00" x 11.00" x 11.00"" ,"Oversize (Small)" ,"4 lbs"
"B07VGM831F" ,"HP Tuners MPVI2 VCM Suite Standard (6 Universal Credits)" ,"HP Tuners" ,"Automotive" ,"$174,600.00" ,"300" ,"$582.00" ,"$77.61" ,"$504.39" ,"11,588" ,"95" ,"5" ,"4" ,"07/16/2019" ,"Prime_Warehouse" ,"4.9" ,"1.70" x 5.40" x 8.70"" ,"Standard (Large)" ,"0.7011 lbs"
"B083PS7V6S" ,"OASIS AUTO Wrangler JL 2018 2019 2020 2021 2022 Unlimited  Sahara  Sport  X  Custom Exact Fit PU Leather Seat Covers Accessories Full Set (18-22 4DR  Orange)" ,"OASIS AUTO" ,"Automotive" ,"$173,991.30" ,"870" ,"$199.99" ,"$36.19" ,"$163.80" ,"11,670" ,"506.2857142857143" ,"6" ,"1" ,"01/11/2020" ,"Oasis Auto Group" ,"4.4" ,"6.60" x 23.00" x 27.50"" ,"Oversize (Small)" ,"11.3494 lbs"
