ASIN,Product_Name,Brand,Category,Est_Monthly_Revenue,Est_Monthly_Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date_First_Available,Buy_Box_Owner,Rating,Dimensions,Product_Tier,Weight
"B07VRSHVJ6" ,"3/4” Wooden Cubes  Bulk Value Box of 3500 Unfinished Wooden Birch Blocks  Math Wood Square Blocks  Puzzle Making  Crafts  and DIY Projects (3/4 inch Mini Wood Cubes)." ,"Woodpeckers" ,"Arts, Crafts & Sewing" ,"$198,159.57" ,"1,043" ,"$189.99" ,"$49.60" ,"$140.39" ,"2,678" ,"449" ,"7" ,"1" ,"07/30/2016" ,"Woodpeckers" ,"4.7" ,"19.00" x 16.00" x 9.00"" ,"Oversize (Small)" ,"34.8 lbs"
"B07KD98Y1N" ,"Derwent Colored Pencils  Inktense Ink Pencils  Drawing  Art  Wooden Box  72 Count (2301844)" ,"Derwent" ,"Arts, Crafts & Sewing" ,"$167,410.60" ,"1,214" ,"$137.90" ,"$29.74" ,"$108.16" ,"2,497" ,"4811" ,"7" ,"6" ,"10/22/2012" ,"MORAZAN" ,"4.8" ,"16.54" x 9.69" x 1.97"" ,"Standard (Large)" ,"4.1 lbs"
"B07RGS9H7N" ,"TitanRF Faraday Fabric Pro Construction Kit. Military Grade Certified Material Blocks RF Signals (WiFi  Cell  Bluetooth  RFID). EMI/EMF Radiation Shielding. 44in W x 18ft L + Free 20ft Conductive Tape" ,"Mission Darkness" ,"Arts, Crafts & Sewing" ,"$159,250.00" ,"1,225" ,"$130.00" ,"$28.48" ,"$101.52" ,"2,823" ,"50" ,"7" ,"2" ,"04/29/2019" ,"MOS Equipment" ,"4.3" ,"3.25" x 3.25" x 49.20"" ,"Oversize (Small)" ,"2.8991 lbs"
"B085HF43Y8" ,"Pack of 10 Lightweight Aluminum Telescoping Display Easel  Black (10 Pack)" ,"Audio-Visual Direct" ,"Arts, Crafts & Sewing" ,"$142,394.85" ,"723" ,"$196.95" ,"$46.39" ,"$150.56" ,"6,675" ,"34" ,"3" ,"1" ,"07/30/2015" ,"Audio-Visual Direct" ,"4.4" ,"40.80" x 17.50" x 7.00"" ,"Oversize (Small)" ,"23.6 lbs"
"B08JPMCRVJ" ,"Aonesy Heat Press Machine Pro 5 in 1 Heat Transfer Machine Digital Sublimation Heat Press Machine for T-Shirts Hat Mug Plate Cap Bottle with 360-Degree Swing Away Function (Orange  15 x 15 Inch)" ,"AONESY" ,"Arts, Crafts & Sewing" ,"$123,670.15" ,"485" ,"$254.99" ,"$66.65" ,"$188.34" ,"17,073" ,"27" ,"7" ,"1" ,"12/29/2020" ,"AsuncionBest" ,"4.5" ,"18.00" x 18.30" x 23.00"" ,"Oversize (Small)" ,"54 lbs"
"B088P6QPHZ" ,"14KT Yellow Gold Cross Religious Pendants/Charms for Men and Women - Available in Various Designs" ,"JULIETTE COLLECTION" ,"Arts, Crafts & Sewing" ,"$120,872.10" ,"930" ,"$129.97" ,"$22.00" ,"$107.97" ,"6,179" ,"181" ,"6" ,"1" ,"03/06/2019" ,"ES Jewelry" ,"4.5" ,"5.00" x 4.00" x 0.30"" ,"Standard (Small)" ,"0.01 lbs"
"B01IUJ4W0Q" ,"12 Gauge  14/20 Yellow Gold Filled  Round  Dead Soft - 5FT from Craft Wire" ,"Craft Wire" ,"Arts, Crafts & Sewing" ,"$105,345.31" ,"769" ,"$136.99" ,"$23.05" ,"$113.94" ,"4,436" ,"506" ,"5" ,"1" ,"07/20/2016" ,"CraftWire" ,"4.7" ,"6.00" x 6.00" x 0.15"" ,"Standard (Small)" ,"0.09 lbs"
"B085JK1HSP" ,"SINGER | M3300 Sewing Machine with 97 Stitch Applications  & 1-Step Buttonhole - Perfect for Beginners - Sewing Made Easy" ,"SINGER" ,"Arts, Crafts & Sewing" ,"$101,425.59" ,"441" ,"$229.99" ,"$48.19" ,"$181.80" ,"4,702" ,"1197" ,"4" ,"7" ,"03/18/2020" ,"OnlineSellingPartner" ,"4.5" ,"9.20" x 13.70" x 16.80"" ,"Oversize (Small)" ,"15.3001 lbs"
"B083NLSWXN" ,"3 Gallon DEEP Pourable Plastic Casting Resin 2" THICK Specially Designed For River Tables & Large Castings" ,"Incredible Solutions" ,"Arts, Crafts & Sewing" ,"$89,996.00" ,"400" ,"$224.99" ,"$52.53" ,"$172.46" ,"11,805" ,"197" ,"6" ,"2" ,"01/13/2020" ,"IncredibleSolutions" ,"4.7" ,"11.80" x 12.40" x 12.70"" ,"Oversize (Small)" ,"28.6998 lbs"
"B08DG1QDBF" ,"Ambesonne Shabby Flora Fabric by The Yard  Summer Spring Season Buds Roses Lilacs Flowers Leaves Print  Decorative Fabric for Upholstery and Home Accents  10 Yards  Pink Cream" ,"Ambesonne" ,"Arts, Crafts & Sewing" ,"$85,414.50" ,"570" ,"$149.85" ,"$28.90" ,"$120.95" ,"7,150" ,"103" ,"5" ,"2" ,"12/02/2018" ,"Pinklim" ,"4.2" ,"5.24" x 12.72" x 13.70"" ,"Standard (Large)" ,"6.5103 lbs"
"B00PKT5WMC" ,"ChiaoGoo 7400-C Twist Tip Interchangeable Complete Set  4-Inch" ,"CHIAOGOO" ,"Arts, Crafts & Sewing" ,"$80,577.30" ,"615" ,"$131.02" ,"$27.34" ,"$103.68" ,"7,897" ,"1115" ,"6" ,"1" ,"11/12/2014" ,"Big Blue Supplies" ,"4.9" ,"7.80" x 5.90" x 1.30"" ,"Standard (Large)" ,"0.5 lbs"
"B08F2YPQNV" ,"ELW 24"x48" Vegetable Tanned Leather 11-12 oz (4.4-4.8mm) Thickness Pre-Cut Cowhide Grade A Full Grain Leather Veg Tan for Tooling  Holsters  Knife Sheaf  Carving  Embossing  Stamping  Dyeing" ,"European Leather Works" ,"Arts, Crafts & Sewing" ,"$79,795.80" ,"420" ,"$189.99" ,"$37.14" ,"$152.85" ,"15,042" ,"59" ,"7" ,"2" ,"07/30/2020" ,"European Leather Works" ,"4.1" ,"24.00" x 4.00" x 4.00"" ,"Oversize (Small)" ,"2 lbs"
"B07DNKBLKW" ,"Transfer Crafts T-Shirt Heat Press & Digital Sublimation Machine (9 x 12)" ,"Transfer Crafts" ,"Arts, Crafts & Sewing" ,"$78,232.05" ,"559" ,"$139.95" ,"$39.13" ,"$100.82" ,"27,624" ,"1184" ,"6" ,"4" ,"06/10/2018" ,"Universal Sewing Supply" ,"4.4" ,"17.00" x 15.00" x 13.00"" ,"Oversize (Small)" ,"27 lbs"
"B08B5Z4YWQ" ,"Homedex 15x15 Inch Heat Press 5 in 1 Heat Transfer Machine with Slide Out Drawer Digital Multifunctional Combo Swing Away Heatpress Sublimation Print Machine for T-Shirt Mug Hat Cap Plate" ,"Homedex" ,"Arts, Crafts & Sewing" ,"$76,316.82" ,"318" ,"$239.99" ,"$64.74" ,"$175.25" ,"131,611" ,"84" ,"7" ,"2" ,"04/17/2020" ,"Homedex Inc." ,"4" ,"17.25" x 18.25" x 23.00"" ,"Oversize (Small)" ,"54.8995 lbs"
"B00EKT30JK" ,"Master Airbrush Cool Runner II Dual Fan Air Compressor Professional Airbrushing System Kit with 3 Airbrushes  Gravity and Siphon Feed - 6 Primary Opaque Colors Acrylic Paint Artist Set - How to Guide" ,"Master Airbrush" ,"Arts, Crafts & Sewing" ,"$71,231.00" ,"475" ,"$149.96" ,"$30.28" ,"$119.68" ,"1,480" ,"2653" ,"7" ,"4" ,"10/29/2012" ,"TCP Global Corp" ,"4.6" ,"14.69" x 12.80" x 6.89"" ,"Standard (Large)" ,"11.25 lbs"
"B011T6V84U" ,"ArtResin - Epoxy Resin - Clear - Non-Toxic - 2 gal (1 gal Resin + 1 gal Hardener) (7.57 L)" ,"ArtResin" ,"Arts, Crafts & Sewing" ,"$69,849.00" ,"351" ,"$199.00" ,"$44.69" ,"$154.31" ,"10,754" ,"472" ,"5" ,"2" ,"07/15/2015" ,"ArtResin Inc." ,"4.7" ,"13.31" x 12.76" x 7.01"" ,"Standard (Large)" ,"19.31 lbs"
"B00U7V2VWW" ,"Anti-Tarnish Silver Cloth - Pre-Cut by The Yard - Brown (8 Yards by 58")" ,"Nancy's" ,"Arts, Crafts & Sewing" ,"$68,850.00" ,"510" ,"$135.00" ,"$29.33" ,"$105.67" ,"8,258" ,"601" ,"3" ,"2" ,"03/22/2015" ,"Nancy's Silver Shop" ,"4.7" ,"14.70" x 10.70" x 7.60"" ,"Standard (Large)" ,"4.15 lbs"
"B0785SCLDS" ,"WOD RWATG20 General Purpose ATG Tape  1/4 inch x 36 yds. (Set of 144 Rolls) Adhesive Transfer Tape Glider Refill Rolls Clear Adhesive on Gold Liner (Acid Free)" ,"WOD Tape" ,"Arts, Crafts & Sewing" ,"$67,737.00" ,"402" ,"$149.99" ,"$37.33" ,"$112.66" ,"9,115" ,"392.6666666666667" ,"5" ,"2" ,"12/06/2017" ,"Tape Providers" ,"4.333333333333333" ,"12.00" x 9.00" x 9.00"" ,"Oversize (Small)" ,"11 lbs"
"B01FK4PFDC" ,"U.S. Art Supply 64" High Torrey Wooden A-Frame Tripod Studio Artist Floor Easel (Pack of 12) - Adjustable Tray Height  Holds 40" Canvas  Wood Display Holder Stand for Painting Party Class  Photos Sign" ,"US Art Supply" ,"Arts, Crafts & Sewing" ,"$67,304.16" ,"396" ,"$169.96" ,"$42.17" ,"$127.79" ,"7,331" ,"23" ,"7" ,"2" ,"08/28/2013" ,"TCP Global Corp" ,"4.3" ,"35.20" x 14.10" x 5.00"" ,"Oversize (Small)" ,"23.15 lbs"
"B00695CY54" ,"Iwata Eclipse Hp-Cs Value Set with Hose Cleaner and Paint" ,"Iwata-Medea" ,"Arts, Crafts & Sewing" ,"$65,160.00" ,"362" ,"$180.00" ,"$34.96" ,"$145.04" ,"10,691" ,"458" ,"4" ,"7" ,"11/16/2011" ,"GOODIES FOR GENIUS" ,"4.9" ,"8.60" x 7.80" x 2.30"" ,"Standard (Large)" ,"1.2 lbs"
"B001ATALCW" ,"Master Airbrush Cool Runner II Dual Fan Air Tank Compressor System Deluxe Kit with Gravity Feed Airbrush  24 Color Acrylic Paint Artist Set  Hose  Holder  Cleaning Pot  Mixing Cups Sticks How-To Guide" ,"Master Airbrush" ,"Arts, Crafts & Sewing" ,"$63,787.24" ,"319" ,"$199.96" ,"$45.34" ,"$154.62" ,"18,326" ,"349" ,"7" ,"4" ,"03/11/2009" ,"TCP Global Corp" ,"4.6" ,"17.99" x 14.25" x 8.27"" ,"Oversize (Small)" ,"19.65 lbs"
"B07MFPHX9S" ,"Addi Express Knitting Machine" ,"Addi" ,"Arts, Crafts & Sewing" ,"$74,120.00" ,"436" ,"$140.00" ,"$35.28" ,"$104.72" ,"9,624" ,"768" ,"3" ,"6" ,"10/26/2013" ,"ucoomy" ,"4.6" ,"16.93" x 14.72" x 5.91"" ,"Oversize (Small)" ,"5 lbs"
"B06XNN9CN7" ,"Williamsburg Handmade Oil Colors Basic Painting Set I" ,"Williamsburg" ,"Arts, Crafts & Sewing" ,"$58,270.16" ,"344" ,"$169.39" ,"$33.18" ,"$136.21" ,"13,090" ,"477" ,"3" ,"4" ,"11/25/2008" ,"BestSource OfficeSupplies" ,"4.8" ,"0.00" x 0.00" x 0.00"" ,"Standard (Large)" ,"20 lbs"
"B088Y88MF7" ,"da Vinci Brushes 5360 Artist Brush  Set" ,"da Vinci Brushes" ,"Arts, Crafts & Sewing" ,"$57,741.12" ,"369" ,"$156.48" ,"$31.01" ,"$125.47" ,"10,271" ,"600" ,"3" ,"2" ,"11/09/2011" ,"Hyatt's All Things Creative" ,"4.3" ,"12.52" x 3.94" x 0.94"" ,"Standard (Large)" ,"0.09 lbs"
"B08KQCX2NJ" ,"Ambesonne Floral Fabric by The Yard  Vintage Garden Plants with Herbs Flowers Botanical Classic Design  Decorative Fabric for Upholstery and Home Accents  10 Yards  Pink Blue" ,"Ambesonne" ,"Arts, Crafts & Sewing" ,"$50,883.63" ,"337" ,"$150.99" ,"$32.52" ,"$118.47" ,"25,831" ,"547.4" ,"4" ,"2" ,"09/30/2018" ,"Pinklim" ,"4.2" ,"1.18" x 9.50" x 10.80"" ,"Standard (Large)" ,"6.25 lbs"
"B01J1WR9BA" ,"Master Airbrush 1/5 HP Cool Runner II Dual Fan Tank Air Compressor Kit Model TC-326T - Professional Single-Piston with 2 Cooling Fans  Runs Longer Without Overheating - Regulator Water Trap  Holder" ,"Master Airbrush" ,"Arts, Crafts & Sewing" ,"$44,507.28" ,"318" ,"$139.96" ,"$33.16" ,"$106.80" ,"16,544" ,"128" ,"6" ,"2" ,"10/28/2019" ,"TCP Global Corp" ,"4.6" ,"6.18" x 13.11" x 13.78"" ,"Standard (Large)" ,"12.2709 lbs"
"B073XSMZCM" ,"6 Gauge  935 Argentium Silver Wire  Half Round  Dead Soft - 5FT from Craft Wire" ,"Craft Wire" ,"Arts, Crafts & Sewing" ,"$38,997.00" ,"300" ,"$129.99" ,"$22.00" ,"$107.99" ,"11,412" ,"147" ,"3" ,"1" ,"07/13/2017" ,"CraftWire" ,"4.5" ,"0.47" x 4.96" x 5.87"" ,"Standard (Small)" ,"0.2315 lbs"
