ASIN,Product_Name,Brand,Category,Est_Monthly_Revenue,Est_Monthly_Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date_First_Available,Buy_Box_Owner,Rating,Dimensions,Product_Tier,Weight
"B08FDG42VZ" ,"Dreamiracle Ice Maker Machine for Countertop  33 lbs Bullet Ice Cube in 24H  9 Ice Cubes Ready in 7-10 Minutes  2.8L Ice Maker Machine with Ice Scoop and Basket" ,"Dreamiracle" ,"Appliances" ,"$1,173,677.31" ,"6,669" ,"$175.99" ,"$44.31" ,"$131.68" ,"6" ,"480" ,"7" ,"4" ,"08/06/2020" ,"Yuikau" ,"4.7" ,"15.70" x 9.60" x 16.90"" ,"Oversize (Small)" ,"26.4004 lbs"
"B08636YHJX" ,"IKTCH 30-inch Wall Mount Range Hood 900 CFM Ducted/Ductless Convertible  Kitchen Chimney Vent Stainless Steel with Gesture Sensing & Touch Control Switch Panel  4 Pcs Adjustable Lights" ,"IKTCH" ,"Appliances" ,"$202,050.00" ,"450" ,"$449.00" ,"$105.63" ,"$343.37" ,"126" ,"244" ,"7" ,"1" ,"05/11/2020" ,"iKTCH" ,"4.5" ,"35.20" x 17.30" x 25.20"" ,"Oversize (Medium)" ,"69.999 lbs"
"B07WS78DVK" ,"IKTCH 30 inch Built-in/Insert Range Hood 900 CFM  Ducted/Ductless Convertible Duct  Stainless Steel Kitchen Vent Hood with 2 Pcs Adjustable Lights and 2 Pcs Baffle Filters" ,"IKTCH" ,"Appliances" ,"$162,991.00" ,"419" ,"$389.00" ,"$76.40" ,"$312.60" ,"211" ,"97" ,"7" ,"1" ,"08/22/2019" ,"iKTCH" ,"4.4" ,"14.40" x 15.80" x 30.40"" ,"Oversize (Small)" ,"26.7509 lbs"
"B075XQRXCF" ,"Portable Washing Machine TG23 - Twin Tub Washer Machine with 7.9lbs Wash and 4.4lbs Spin Cycle Compartments by Think Gizmos" ,"Think Gizmos" ,"Appliances" ,"$87,378.15" ,"437" ,"$199.95" ,"$48.51" ,"$151.44" ,"97" ,"1349" ,"7" ,"4" ,"09/25/2017" ,"ThinkAwesome" ,"4.1" ,"27.01" x 23.74" x 15.00"" ,"Oversize (Small)" ,"28 lbs"
"B08DTGGBW1" ,"Electric Cooktop  ECOTOUCH 12" Radiant Electric Cooktop Built-in Electric Stove  240V Electric Stove 2 Burners  Kid Safety Lock  9 Heating Level" ,"ECOTOUCH" ,"Appliances" ,"$77,175.46" ,"454" ,"$169.99" ,"$37.92" ,"$132.07" ,"132" ,"297" ,"7" ,"4" ,"08/14/2019" ,"ECOTOUCH Appliances" ,"4.4" ,"5.00" x 15.00" x 22.50"" ,"Oversize (Small)" ,"11.9491 lbs"
